# src K queryType(1=count,2=max) expectedResult
15795 1 1 20
76820 3 2 53604
37194 3 2 -1
44131 4 2 81637
41090 2 1 224
769 4 2 81840
64925 2 2 46488
5311 4 1 77265
53707 2 2 67124
71932 4 1 39064
25658 3 2 71907
18431 4 2 80883
59150 2 2 -1
35773 3 2 80608
56886 4 2 81674
11394 1 1 163
41606 1 1 2
80038 2 2 -1
8792 4 2 79426
73969 2 1 0
23897 1 2 1196
23483 3 2 81277
17159 3 1 36526
80077 1 2 60431
67121 4 2 82142
19457 2 2 80475
78953 4 2 80148
9692 3 2 56816
72409 4 2 80311
37065 2 2 -1
32606 4 1 78138
40397 3 2 76858
1016 2 2 70446
23247 1 2 63488
9268 4 2 81663
63704 4 2 81900
8571 1 1 51
38044 3 1 13020
48984 3 1 13676
62592 4 2 -1
48190 3 1 0
39504 4 1 72822
61858 1 1 1
38660 2 1 56
64505 1 2 -1
22662 1 2 17143
78603 2 1 4
35222 2 2 69215
63335 2 1 87
70592 3 1 253
8110 2 1 959
52992 1 2 7883
6910 2 1 1852
206 3 2 80380
23419 1 1 36
50015 3 1 6128
54268 4 2 81640
18141 1 1 4
71910 1 1 1
33827 1 2 2626
81734 3 1 19
22299 2 2 -1
64044 2 1 21
2693 4 2 77493
69163 4 2 80225
42941 3 2 79201
26105 3 2 78602
21976 3 2 81102
23776 1 1 1
66842 2 1 0
55016 3 1 4379
58053 4 1 47813
3748 1 1 51
13545 4 2 80380
34766 3 2 75328
61087 4 2 77424
68840 4 1 0
51005 1 2 20725
62003 4 2 81210
65318 2 1 36
23664 1 1 18
26736 2 2 34326
854 1 2 21707
7392 1 1 44
46717 2 1 228
50859 2 2 78858
26309 4 1 75205
70467 3 1 6245
12688 3 2 81758
67863 1 2 18844
65733 2 1 33
80623 4 1 3122
42107 3 2 77178
51663 1 1 1
49811 4 1 0
72082 2 1 49
11411 4 1 75089
8680 1 2 52
71295 3 2 75960
11111 1 1 35
8155 1 1 1
47254 3 2 80404
60713 3 1 9459
46843 4 2 81823
16371 4 1 77829
2049 1 2 18380
20932 1 2 69393
61434 3 1 5616
7400 3 1 47976
15151 4 1 18837
4499 4 2 81862
59040 4 2 81494
12874 1 2 36818
5539 2 2 76207
61267 2 1 146
2557 1 1 3
2200 1 2 30469
46975 2 2 56963
77505 2 1 10
61135 1 1 0
38467 1 2 15274
3987 4 2 77205
46214 3 1 0
70271 1 2 22407
70091 3 1 649
45525 3 2 77901
6893 2 2 46728
47333 1 1 1
76213 4 1 8531
30746 2 1 86
54045 1 2 15968
39790 4 1 53049
40764 4 1 27002
56835 3 2 79870
73744 4 2 -1
18589 1 2 -1
36212 2 1 91
32635 1 1 1
18711 1 1 14
301 1 1 1
66235 1 2 16909
65726 1 1 1
6102 1 2 49656
26641 1 2 38658
23093 2 1 1129
51885 4 2 81890
72991 3 2 78126
18070 2 1 1695
82074 2 2 80938
45017 1 2 24588
78069 4 1 0
54748 2 1 0
49689 3 2 75240
29592 4 1 65004
70316 4 1 48810
77575 4 2 81516
70031 2 2 -1
55766 3 2 79509
32097 2 2 46615
10966 3 2 79434
52921 3 2 78813
50300 2 2 50301
56661 1 2 50659
70313 2 1 6
15338 4 1 80938
80135 1 2 -1
3051 4 1 77993
54021 1 2 -1
56179 2 1 0
80738 3 2 80739
73523 4 1 43902
17019 2 2 74708
73847 3 1 0
28251 2 1 32
25945 1 2 4318
8308 2 1 8180
1150 1 2 23666
74740 1 2 -1
16896 3 2 81068
46175 2 2 46176
20056 4 1 73853
3343 1 1 6
29375 3 1 16609
59638 3 2 79999
67215 3 1 4917
72789 1 1 2
61389 4 1 46817
44078 1 2 4968
78781 4 1 14813
43919 2 2 57859
35247 1 1 1
62752 2 2 -1
26646 2 2 78396
79605 1 2 56511
68385 4 1 57361
65417 2 1 0
9823 1 2 77
9540 1 2 56525
27663 4 2 81433
30977 1 2 30993
60890 4 2 81685
59275 2 1 359
35195 1 1 5
70588 3 1 0
38304 4 2 81401
20764 1 2 39316
38494 2 2 46558
27350 1 2 41545
25351 1 2 38004
15305 2 2 76346
65953 3 1 20438
20358 4 2 81508
38513 1 1 3
412 4 2 81847
33496 1 1 0
44425 1 1 2
35735 4 1 59722
17955 2 1 2158
65510 4 2 76833
7357 4 1 69220
44811 1 1 2
71180 3 1 1456
68450 1 2 -1
14397 4 2 82002
728 2 1 2675
66234 3 1 2800
79459 4 1 11251
72936 3 2 -1
69896 3 2 77484
51934 4 2 81053
54098 2 1 152
8335 1 1 4
11130 1 2 14246
60566 4 1 64993
1062 1 1 40
21545 2 1 412
9348 3 1 48132
74460 3 1 3642
6801 3 2 52787
48136 2 2 78415
72592 1 2 27191
1542 2 1 12366
50343 2 1 541
19065 2 1 419
54693 3 2 77932
13807 1 1 60
57854 3 1 6421
1324 4 2 81743
35909 4 1 0
34578 1 2 75273
26790 3 2 76887
55129 3 1 15371
15485 3 1 24881
4748 2 2 63048
3709 2 2 4787
55771 4 1 69794
25470 1 1 22
52224 3 1 0
80219 2 1 0
28016 1 2 5752
67641 4 1 0
22700 1 1 6
20559 2 1 174
61642 4 1 0
30354 4 1 73309
71726 1 1 6
38413 3 1 20166
52736 1 2 -1
68866 4 1 0
24504 3 2 80262
10975 4 2 82033
23959 4 1 71351
29703 2 2 76502
61529 4 2 81441
31921 4 2 81489
4835 4 1 74931
47605 3 1 1
38088 1 1 1
57043 1 2 9890
27532 2 1 966
45445 2 1 14
49407 1 1 1
75672 2 2 58490
58141 2 1 82
37892 3 2 76154
61813 1 2 13004
8415 3 1 63966
62292 2 1 117
62680 2 1 92
72474 1 1 1
20384 2 1 817
8702 1 1 2
40943 3 2 79427
12763 1 1 2
9860 2 1 915
50612 3 1 10794
69172 1 2 20501
32201 3 1 29675
56397 1 2 79589
34816 3 1 42735
17100 4 2 81837
70080 1 2 22081
36187 3 2 -1
14489 2 2 76942
61877 2 1 206
32049 4 1 37111
73963 1 2 -1
24285 3 1 16211
53871 3 1 3471
15254 3 1 36716
39764 2 2 69253
53682 3 2 68859
65215 4 2 -1
6949 2 2 71624
73553 2 1 13
23386 3 1 42070
75745 4 1 22024
53413 1 2 22681
42318 4 2 81330
70390 2 1 21
43088 1 1 4
39811 2 2 -1
19963 4 2 80851
73477 1 2 29338
69836 2 1 24
12015 3 1 13362
6254 1 1 40
80719 3 1 139
11637 4 2 81823
58243 4 2 81515
41240 3 2 76454
33434 1 2 69773
75697 1 2 36075
11314 3 1 28276
36668 2 1 71
39749 1 1 4
16907 2 2 67805
51745 1 2 -1
81818 1 2 -1
10488 3 1 36802
43221 3 2 77244
55645 3 1 5569
52796 1 2 7785
64291 1 2 -1
79714 1 2 81956
302 3 2 17247
8717 2 2 79395
73686 2 2 73688
16748 2 2 77216
15034 4 1 68161
5126 3 1 52919
55658 3 2 79503
34674 3 2 -1
73688 3 1 3035
10267 2 1 646
50448 3 2 78792
56793 2 2 -1
4632 1 1 43
6168 4 2 78752
73794 1 1 1
26734 4 1 53979
26069 2 1 303
73479 4 1 0
23275 3 2 73093
60004 2 2 60003
54553 4 2 81931
75703 3 1 0
3812 1 1 40
27285 1 2 1645
1605 3 2 72433
27139 2 1 749
76125 3 2 78341
27446 1 1 2
24818 3 2 71577
4324 4 2 81899
38110 2 2 38111
41427 4 1 69205
117 1 2 11108
13234 2 1 318
53441 3 1 3703
79239 2 1 5
6469 2 2 76164
64323 3 2 76319
49376 4 1 68785
67584 2 2 67585
42533 1 2 6116
20618 3 2 -1
47362 1 2 20368
59383 2 1 72
9865 4 2 81329
5287 2 2 75777
8512 3 1 13869
19216 1 1 6
79767 2 1 0
36258 2 1 70
12219 4 2 81900
67444 4 1 17904
70792 2 2 23290
73698 3 1 3219
5415 4 2 80790
5951 1 2 48920
41832 1 2 4566
30523 2 1 1522
15524 1 1 9
23930 2 2 71064
20611 1 1 9
43303 4 1 0
29287 2 2 75870
11954 1 2 50725
71520 3 1 591
18574 1 1 2
67728 1 1 1
45558 2 2 59203
36455 4 1 0
11302 3 2 81375
54917 3 1 3661
24519 2 2 24531
56819 3 1 4266
71324 1 2 24334
25053 3 1 24965
51356 2 1 606
66656 1 1 8
32154 3 1 35894
67779 2 2 67783
32265 1 1 7
43872 2 2 -1
55180 3 1 5831
71907 1 2 28217
64435 4 1 48272
20103 1 1 1
14382 4 2 81651
3756 2 1 3018
16478 3 1 26057
75683 4 2 78863
71315 3 2 -1
14153 4 2 81937
12999 3 1 1467
76077 3 2 76078
75993 1 2 37261
17368 1 1 2
27306 4 2 81358
37219 4 2 80475
64644 4 1 56574
126 2 1 906
65310 2 1 61
44327 1 2 4995
47882 3 1 0
76589 1 1 1
1645 4 2 82093
19256 1 1 8
53173 3 1 12497
63374 1 1 3
56264 1 1 3
57545 4 1 20347
13224 3 1 45953
63731 1 2 -1
73509 2 1 27
8666 2 1 1500
36368 4 1 48668
41914 4 1 58347
79026 2 2 58646
67526 4 2 79505
19956 4 1 67677
37148 3 1 19845
4757 2 2 77198
16241 1 1 18
70480 4 1 0
49840 4 2 81267
24917 4 1 76591
75452 4 1 27370
20806 1 2 69322
41949 3 1 17384
24442 4 1 68888
2079 2 1 7712
27952 1 1 9
72847 4 1 48596
18449 1 2 -1
38258 3 2 77885
28865 2 2 -1
38000 2 2 76188
38565 3 1 4927
65155 1 2 15690
12342 3 1 47399
78623 2 2 78622
75629 2 2 75630
81974 4 2 79891
81244 4 1 0
76534 3 2 -1
30678 3 1 22411
74055 2 1 4
68836 3 1 0
24160 4 1 76841
79111 2 1 15
34911 4 2 81585
75039 4 2 79021
12175 4 2 81995
66358 4 2 80988
6150 2 1 1005
16032 3 1 15564
53394 4 1 0
41874 4 1 47652
31419 2 2 81469
42880 3 1 29131
15358 2 1 909
76918 4 2 76917
14596 1 2 5057
1279 2 1 2208
62516 4 1 65778
17771 4 1 71605
48285 4 1 69639
37599 1 2 76081
35954 1 2 -1
78344 4 2 78345
60774 1 2 -1
17685 3 2 81039
55961 2 1 0
76908 2 1 13
74532 3 2 74531
61268 2 2 74048
57384 2 2 77152
39952 1 1 2
78411 3 1 516
40809 2 1 198
51226 1 1 1
29402 4 2 81516
46828 1 1 5
74182 2 1 0
11664 2 1 134
29373 2 2 46525
38709 3 1 2264
19250 1 2 68245
78617 1 1 1
53002 4 1 63999
72355 1 1 0
11046 4 1 78778
28769 3 1 26478
68247 2 2 80940
21792 2 2 68372
74478 4 1 30157
67298 4 1 23199
12112 2 1 1184
45420 3 2 -1
47304 2 2 -1
1524 1 1 6
35111 1 1 3
34008 1 1 9
55337 1 1 1
24354 3 2 67663
34020 4 2 81600
75186 2 2 34349
23051 3 1 6534
69626 1 1 2
21520 2 1 1728
57134 4 2 77535
44623 4 1 39400
71431 3 1 0
11344 3 1 17094
67957 4 2 80019
70855 1 2 -1
62552 4 1 57078
27935 2 2 71977
70342 1 1 1
56276 2 2 -1
44813 3 1 7475
24070 1 1 20
80559 4 2 82050
41786 3 1 18284
6737 3 2 80192
51571 3 1 5548
37265 3 2 79331
66150 1 2 16842
74910 4 1 33193
35435 4 1 72105
78945 3 1 275
2983 2 1 7027
23510 4 1 72751
56846 4 1 43464
44547 1 2 5028
7564 2 1 1684
79273 4 2 79274
74038 3 2 67131
66081 2 1 206
29430 1 1 0
48543 4 1 66123
39974 2 2 61394
45084 2 1 314
61916 2 1 207
62187 1 2 80303
58606 1 2 -1
50072 3 1 7937
12676 1 2 30708
2050 1 2 29804
24951 2 2 75440
55619 2 2 62927
40600 4 1 57794
35400 3 1 8492
74691 4 1 14259
43001 1 1 1
45028 3 2 -1
37573 3 2 81901
56638 2 2 56640
29757 1 2 2042
48280 3 2 79735
62211 3 2 78853
56979 1 1 1
38197 1 1 3
34157 2 1 0
61665 1 2 -1
27376 2 1 0
14199 2 1 2243
50948 2 1 846
66262 1 1 1
76898 4 2 79051
30448 1 1 0
7657 3 2 78983
25425 2 1 316
24578 4 1 69480
61413 1 2 -1
33660 3 1 15071
59720 4 2 81125
17674 1 2 67009
23874 3 2 81939
65160 3 1 3035
25931 2 1 1434
46542 4 1 71645
64772 3 1 0
81121 4 2 -1
33742 2 2 60315
21754 1 2 44573
41873 2 1 276
9903 1 2 39390
45648 2 2 77918
9516 4 2 80835
2396 3 2 80978
1591 4 2 76820
71719 3 1 1037
7314 4 2 81642
67675 1 1 1
65082 4 1 26822
33130 1 1 1
26292 2 2 26295
69274 2 2 69273
22534 1 1 11
49708 2 1 268
49138 3 1 15834
78249 2 2 78251
22890 1 2 66103
42534 3 2 79730
18787 2 2 78113
57932 1 2 10430
33062 2 2 65014
60461 3 1 6304
34832 4 1 10432
72545 4 2 -1
31575 1 1 3
1007 2 1 5482
47517 3 2 78318
42207 2 1 2571
1435 4 1 80094
26660 1 2 72365
13507 4 2 82078
45539 2 2 45566
50192 4 2 81900
63888 2 2 80489
20953 4 1 73910
67889 2 2 67916
24860 4 2 -1
21427 1 2 -1
57372 3 1 0
7813 3 1 21509
27082 2 1 388
44569 2 2 56021
13025 1 2 183
14288 3 1 26007
81958 3 1 3
75932 3 2 81621
50975 2 1 627
78797 4 2 78796
77258 3 1 835
44413 4 2 81580
33756 1 1 3
81871 1 1 1
53331 2 1 233
63416 1 1 1
5626 1 2 25761
19982 2 1 155
48290 4 1 74911
26385 3 2 72272
18639 3 2 79954
21563 2 1 2
5776 1 1 85
8711 3 1 52172
30707 3 1 3965
61788 4 2 81735
5655 4 2 81929
52098 4 2 81674
526 1 2 18741
11536 2 2 -1
51027 4 1 63370
65455 1 2 37034
5109 1 1 7
54615 4 1 60632
29759 1 1 1
26589 4 2 81329
62046 2 2 -1
6154 1 1 200
64288 4 2 -1
52648 4 1 61035
32981 3 2 78215
75304 1 2 34658
52269 4 1 2
74319 2 2 74324
48787 1 2 -1
74663 4 2 -1
63483 1 2 14104
6368 1 1 49
45004 2 1 369
56985 2 1 79
81061 3 2 69643
50861 2 2 78859
68577 2 1 41
25003 1 2 58632
71626 1 1 1
49786 2 1 173
26015 1 2 9302
26289 4 2 -1
25683 2 1 422
24826 3 1 10395
46163 4 2 81436
11653 2 2 76213
74137 3 1 1548
56446 1 2 24620
36877 3 2 75911
80885 4 1 6472
1560 1 1 11
26745 3 1 17561
52579 1 2 18664
28380 3 1 32333
70326 4 1 29778
20049 2 2 77052
16082 2 1 593
2920 3 1 15307
60315 2 1 9
45500 1 2 6376
55230 3 1 3913
30027 1 2 53706
59321 1 2 11798
74131 1 2 74130
25963 2 2 54691
39063 2 1 3076
80818 4 1 184
72099 2 1 10
31585 4 2 81532
43585 3 2 77556
76707 2 1 11
12201 3 1 42297
45241 2 1 195
48364 2 2 59257
57056 3 2 79689
19975 4 2 81053
78301 3 2 78302
66061 2 2 66063
33142 1 1 1
44965 1 1 1
35133 2 2 79534
70135 3 1 6588
69350 2 1 2
61272 1 2 25506
67649 3 1 481
13760 4 2 81947
61367 4 1 31052
52233 3 2 75612
76367 2 1 0
76619 2 1 0
42240 1 2 27911
79530 4 1 11293
71635 4 1 47231
35946 1 1 2
71652 4 1 34257
9847 4 2 81572
67278 2 2 67280
50108 4 2 81393
81537 1 1 1
281 1 1 2
39030 3 2 80402
76260 1 1 1
29856 1 1 0
33997 4 2 81840
41235 1 2 76995
1239 3 1 52066
65661 2 1 0
61212 1 1 0
56503 3 1 5369
68785 3 2 76489
79141 4 1 0
22911 2 1 319
78131 4 2 81820
43753 4 1 66379
10225 1 1 229
23196 4 2 82074
37380 3 2 79827
48320 3 1 4645
15577 3 2 81081
55409 2 1 242
24089 4 1 62718
50138 4 1 0
54061 4 1 57280
31890 3 2 74361
19508 4 1 0
26984 2 2 63065
36059 2 2 63567
17087 2 1 845
5704 1 1 44
72460 1 1 1
66024 3 2 -1
29165 4 2 -1
4114 2 2 76652
73297 1 1 1
25426 1 1 1
3712 4 2 77205
51924 3 1 1443
27723 2 1 272
9108 3 2 81669
31324 1 1 1
8927 1 1 8
22443 2 2 73727
76743 2 2 39868
60233 2 2 60237
77576 3 1 510
6471 4 2 81858
31348 1 2 74142
4760 4 1 78836
81889 4 1 7
27598 4 2 81705
73770 4 1 2836
81709 2 2 81711
78714 3 1 221
24596 3 1 0
69967 3 1 5551
39310 1 2 3590
8906 3 1 51091
45379 1 1 0
37650 2 2 43902
6012 4 2 81406
57716 4 2 -1
36378 1 1 1
13467 3 2 81457
54691 2 2 73532
12289 1 1 0
23171 2 1 454
44139 2 1 45
72588 3 1 3546
18743 1 2 5496
74172 2 2 74173
24611 4 2 81982
12149 3 2 -1
21675 4 1 68456
13673 3 1 38088
80758 2 2 66467
34068 2 2 79419
52249 1 1 1
81929 4 2 79297
75388 2 2 81580
71831 4 1 0
34084 4 2 80827
55826 4 2 81379
31910 2 1 66
65681 3 2 -1
65481 1 1 2
64174 1 1 1
17633 1 1 28
80532 1 2 -1
77231 1 1 1
33755 3 2 74998
57993 1 2 14190
57784 2 1 128
17727 3 1 23577
65108 2 1 0
32117 1 1 6
55754 3 2 79509
29371 2 1 426
38467 2 2 64800
76329 4 1 16641
39532 2 2 72379
73379 3 1 490
31367 1 1 5
68008 3 2 71944
72240 4 2 81278
70587 1 2 22951
36378 4 1 62246
56549 4 2 81446
73794 2 2 36448
45113 3 2 -1
5249 3 2 80891
19201 2 1 566
9686 2 2 79645
661 4 2 81401
60963 1 1 2
48604 3 1 7927
25592 3 2 -1
68619 1 2 37954
20103 4 1 54232
81437 1 1 1
55922 4 2 81472
62711 4 1 55635
13395 2 2 76510
56273 4 1 42663
4895 1 1 17
76559 4 2 81680
9715 2 1 2148
16163 1 1 0
35585 3 1 10122
55114 3 2 78647
42685 3 2 78836
36035 2 1 121
65450 3 2 77362
70971 1 2 81191
61929 4 1 35899
12329 2 2 79286
34594 2 2 81209
45033 2 2 67445
73861 3 2 73860
31750 4 2 81479
73800 3 1 807
24226 2 1 591
20609 3 2 69222
72909 4 2 79488
48895 2 1 921
74520 1 2 51007
29984 4 1 73067
5901 1 2 48642
31055 2 2 60312
14716 4 1 71432
35298 1 2 2856
50200 1 1 4
17347 1 1 7
46659 1 2 78103
7967 4 2 82095
77452 3 2 70919
28179 2 1 2665
55099 3 2 81034
18268 3 2 72914
60545 4 1 51851
72146 3 1 0
79364 3 2 -1
55677 3 2 72131
46332 3 2 78058
25032 3 1 10385
44936 3 1 3480
70984 4 2 80033
28141 3 1 13705
23291 1 2 70793
46851 3 2 78151
23312 1 1 1
34171 4 1 76802
12411 2 1 40
57009 3 1 5275
32371 3 2 78894
51196 3 1 13380
26715 2 2 26728
31174 1 1 2
76373 1 2 38623
62646 2 2 80981
6548 2 2 78907
73294 1 2 75940
24022 2 2 71110
5542 1 1 37
60428 1 2 80076
56532 1 2 -1
47076 1 2 78195
163 1 1 109
53744 4 1 27423
4798 1 2 42380
29300 2 2 29308
25121 4 2 81254
33361 4 1 78224
14056 1 2 63425
30620 2 2 30656
55316 2 1 147
53352 4 1 66465
3191 1 1 32
64641 4 2 82050
6172 1 2 49934
20281 4 2 81007
51431 1 2 -1
28602 2 2 73223
23472 3 1 25510
7099 3 2 78180
56492 3 1 6950
30111 4 1 62797
22614 1 2 999
70476 4 1 0
63530 1 1 0
28082 4 1 68554
76816 1 2 40214
44857 3 2 73978
48355 3 2 78462
64027 3 1 6540
29956 1 2 2087
76295 4 2 76294
42533 3 2 78664
39279 4 1 0
17630 4 2 81830
35144 2 1 303
77360 4 2 -1
6979 2 1 7450
59560 1 2 11262
61558 2 1 15
57713 2 1 57
25227 3 2 78038
17153 2 1 187
39071 3 2 76529
9503 4 2 79625
57866 2 1 151
58279 2 1 94
45000 1 2 77838
38714 2 2 76400
49145 1 2 17570
77811 2 2 65321
46804 4 2 81491
64946 2 1 90
61332 3 2 80216
48758 3 1 28409
37643 1 1 1
56849 1 1 1
15997 4 2 80662
23911 2 1 2015
14571 4 1 71432
57941 2 1 208
58712 2 2 58715
48908 2 2 68221
64028 1 1 1
55731 3 2 -1
44638 3 1 20950
46486 4 2 81815
57804 2 1 25
27044 1 1 8
8706 3 2 79547
81942 1 2 82146
5926 4 1 75745
9496 4 1 78786
29806 4 2 80456
65095 1 2 -1
49666 1 2 6104
62946 4 2 80617
68056 2 1 6
36735 2 1 0
79578 3 2 81738
31656 4 1 68702
47701 2 2 -1
10805 4 1 77109
63437 2 1 32
19873 1 1 2
15379 3 2 76964
5110 2 2 74447
23762 1 2 70986
9596 4 2 81533
18313 4 2 81947
23705 1 2 61744
78645 4 1 6736
59796 2 2 59798
64429 4 2 78307
33848 1 2 5430
59664 3 1 0
68099 1 2 -1
69122 4 1 48147
23225 3 2 67124
36727 2 2 36762
65697 2 2 76390
14226 3 2 80752
28731 3 1 2938
68926 2 1 7
78229 4 1 17765
62539 2 2 62541
37861 1 1 0
10258 4 1 56852
5469 3 1 29205
76256 2 1 3
1651 1 1 474
25051 3 1 29370
16184 4 2 81807
75564 1 1 3
45253 4 2 81293
30447 3 1 10366
30254 2 2 -1
57418 3 1 2819
3471 1 1 9
8329 2 1 1639
54220 3 1 7770
6397 2 1 160
35525 1 1 8
23284 3 2 70802
25122 2 2 76207
81906 1 1 5
7999 1 2 53169
2096 1 2 30028
25279 1 2 69750
26201 4 2 80881
15078 3 2 79627
2839 1 2 35158
42821 1 2 40413
17069 4 2 81674
37051 1 1 1
67155 4 1 0
45603 1 2 77905
1431 4 2 74289
9557 4 1 69444
162 3 2 79965
73997 4 2 80904
32591 4 2 81790
9833 1 1 6
49733 4 1 69499
5347 4 1 80814
2643 2 2 69277
50026 1 1 2
47299 2 1 970
30682 3 2 73935
14289 4 2 81480
48330 4 2 81610
77454 4 1 11003
65428 2 2 -1
2539 4 2 81967
22669 1 1 16
18745 1 2 -1
28228 3 1 15130
34521 1 2 2795
26928 3 1 26307
62292 4 2 81267
81912 1 1 3
6304 2 1 2420
24259 3 2 79735
15352 3 2 80394
19446 1 1 9
75415 1 1 2
7521 4 2 80512
18474 1 1 9
